x1,x2,x3,x4
0.000000,0.000000,0.000000,0.000000
11.683291,0.057805,-0.770883,9.312643
11.418325,-0.547064,1.999493,10.265135
-0.793784,-0.025403,0.259214,-0.738979
-0.496404,2.356333,-0.750277,1.150111
0.725550,-0.887122,-0.641690,0.293072
-1.015182,2.172359,-1.919268,0.713934
0.508382,1.202244,0.562740,-0.803087
-0.546266,-1.358147,0.095036,0.089360
-0.417089,1.541094,-0.138404,0.898323
1.688618,2.394297,-1.387839,0.843292
-1.374948,1.599034,0.000727,0.472929
0.179429,1.569993,-1.838434,2.061591
0.165016,2.046232,-1.065591,-0.930269
-0.147676,-0.185454,-1.118291,-0.171128
0.784869,-0.111002,-1.598087,1.409225
1.148001,-0.090140,-2.197003,-1.263184
-1.320344,1.083745,-1.374923,-0.691141
2.209986,0.277840,0.499371,-0.319140
-0.683802,-0.510084,0.998164,-0.291217
1.329443,0.316324,-2.950332,0.770370
-0.735815,0.497078,-1.171039,-0.355552
1.175853,-0.526370,-0.341178,-0.309464
0.525014,0.828602,-1.481519,0.049473
0.562058,2.084943,-0.982351,-0.868786
0.834471,0.319508,-3.097192,0.890364
0.644193,2.614322,-1.503882,0.434329
-1.379370,0.154962,0.216302,-0.730443
0.840986,-0.208150,-0.119094,0.470307
1.267999,0.942720,-0.960408,1.741965
0.623206,0.360871,0.279176,0.936318
1.564787,1.611629,0.321690,-0.194036
-0.367084,-0.123380,0.332062,0.882000
-0.839537,1.850843,-1.540170,0.138119
-0.403533,0.193881,-0.223185,-2.023745
0.944555,1.133569,-1.001062,0.202144
0.560661,1.965665,-0.586872,-1.365955
2.624516,-0.109480,-0.345759,-0.665476
-1.521983,1.160334,-1.331926,2.295611
1.491140,1.663579,0.376602,1.508764
1.306358,-0.073552,0.056663,1.396078
1.248164,0.333886,1.157514,0.676500
0.010463,-0.393086,-1.529524,-0.885993
-1.011304,2.589458,0.763566,-0.308570
-0.146664,0.267393,-1.274005,0.515696
-1.299572,0.895245,-1.139379,-1.071609
-1.056063,-0.208007,-1.549768,-0.808837
-1.656491,-0.609687,0.651984,-0.359280
-0.423180,-1.862328,-0.815028,0.380951
0.356071,1.347412,-1.735030,0.544722
-0.690621,0.217082,-1.289447,-1.669843
-0.295797,2.454991,-1.046509,-0.924773
-0.731768,0.884851,-0.376522,-0.341061
-0.564708,1.565511,0.154425,0.603578
0.144891,0.526259,-1.523885,1.798313
0.105537,0.946555,0.057491,1.576109
-0.026193,-0.947965,-1.177640,0.111357
0.185593,-0.190357,-2.108525,-0.317357
-0.744195,0.450064,-0.115703,1.224577
-0.033183,1.258121,-0.783980,0.683692
-0.592523,-0.954578,-0.264036,0.782474
1.997106,0.685689,-1.658352,-0.371987
-0.823796,0.897713,0.176545,-1.023609
1.198393,0.586892,0.093562,-0.661996
0.221223,0.156142,-0.620640,2.633734
0.993543,1.249174,-1.115835,0.459767
1.557880,1.245227,-3.140395,-0.507007
-0.323516,0.542241,0.397417,0.500811
0.447301,-0.289109,-1.322265,0.897835
0.496408,2.590612,-0.339742,0.057165
-1.971866,-0.175817,-2.286019,0.643012
0.614234,0.895331,0.227038,-2.201434
0.436781,1.929517,0.785556,-0.179981
0.021233,0.566748,-2.576413,0.632366
1.143676,0.529334,-1.336346,-2.358834
-0.118564,1.437654,-1.110941,0.404438
-0.935725,1.883371,0.616702,-0.807969
-0.237097,-0.377339,-0.010925,0.604582
-0.253248,0.685849,-0.207037,-0.082651
0.490583,1.623977,0.080744,1.339597
0.893852,0.878081,-1.084892,-0.910176
0.453728,0.087441,-1.983428,-0.192971
1.323623,0.862693,-1.336537,-0.620225
