
x1,x3,2.5082616749862984e-11,['x1', 'x2', 'x4', 'x3']

x1,x2,1.3186170982012831e-06,['x1', 'x3', 'x4', 'x2']
x1,x3,4.463792114234457e-08,['x1', 'x4', 'x2', 'x3']

x2,x4,7.619254364502379e-10,['x2', 'x1', 'x3', 'x4']


x2,x1,5.899648183700718e-21,['x2', 'x3', 'x4', 'x1']

x2,x1,2.4900068496724573e-26,['x2', 'x4', 'x3', 'x1']

x3,x2,6.479242425641517e-06,['x3', 'x1', 'x4', 'x2']

x3,x1,1.8133377002098817e-25,['x3', 'x2', 'x4', 'x1']

x3,x1,1.6669699147984196e-22,['x3', 'x4', 'x2', 'x1']
x4,x3,2.3793586361366554e-33,['x4', 'x1', 'x2', 'x3']

x4,x3,7.800990106101977e-25,['x4', 'x2', 'x1', 'x3']


x4,x1,1.6496224412088695e-17,['x4', 'x3', 'x2', 'x1']
