x1,x4,3.058120731680251e-05,['x1', 'x2', 'x3', 'x4']
x1,x3,0.0010542614524741522,['x1', 'x2', 'x4', 'x3']
x1,x2,5.442242669999965e-16,['x1', 'x3', 'x4', 'x2']
x1,x2,1.5897681081242365e-17,['x1', 'x4', 'x3', 'x2']
x2,x3,8.934169149255574e-17,['x2', 'x1', 'x4', 'x3']
x2,x1,5.901005743177172e-13,['x2', 'x3', 'x4', 'x1']
x2,x3,3.39405316252056e-07,['x2', 'x4', 'x1', 'x3']
x2,x1,0.0006957495011546945,['x2', 'x4', 'x3', 'x1']
x3,x2,4.8419948113535715e-29,['x3', 'x1', 'x4', 'x2']
x3,x1,9.064132183093711e-51,['x3', 'x2', 'x4', 'x1']
x3,x1,9.818016566343926e-29,['x3', 'x4', 'x2', 'x1']
x4,x3,4.4553480878423213e-66,['x4', 'x1', 'x2', 'x3']
x4,x3,9.355957039577576e-26,['x4', 'x2', 'x1', 'x3']
x4,x1,3.2713534682278756e-43,['x4', 'x3', 'x2', 'x1']
